Space,Input,Device Type,Input Specs,Local user,Remote user,UI/UX,Visual,Haptic,Auditory,Remarks,Collab Style,Video,Publisher,Year,Thumb
Virtual Reality Based Immersive Telepresence System for Remote Conversation and Collaboration,3D Scene,HMD,HTC Vive VR and two handheld controllers and two infrared localizations devices. Noitom perception neuron glove with 32 neurons as motion capture glove. For Lip Sync based mouth movement 6 typical phonemes [a][e][i][o][u][s] used. this also supports different languages and we tested on Eng and Chn.,VR,VR,Visual + Auditory,avatar head motion body gesture eye gaze,,voice,during remote collaboration session users can play PPT slides or watch videos together or they can cooperate on solving math problem by calculating on a virtual blackboard. data that transmited through the network are audio stream; motion params and scenes sync data. the average latency is around 100ms - 150ms under LAN. using this users can solve some problems by sharing sketches with each other. presence,1→1,,AniNex,2017,
Social Street View: Blending Immersive Street Views with Geo-tagged Social Media,Panorama Image,HMD,scraped 100 Google Street View panoramas from Manhattan in New York City as main dataset. found over 84055 images on Instagram within a query distance of 20m in these panoramas. For each query system returns 100 closest social media images according to the distance to the panorama by searching in B+ trees. The rendering resolution we used is 2650x1440 pixels.,VR,VR,Visual + Auditory,avatar,,text,enhance storytelling; Business Advertising; Learning Culture and Crowd-sourced Tourism perception,1→0,,Web3D,2016,
Geollery: A Mixed Reality Social Media Platform,Panorama Image,HMD,,,,Visual + Auditory,,,,an interactive mixed-reality social media platform (creating sharing and exploring geotagged information) in 3D which uses a mirrored world rendered in real-time usability,1→0,https://www.youtube.com/watch?v=VKRAv3vDjv4,CHI,2019,
360-Degree Photo-realistic VR Conferencing,360 Video,HMD,Kinect to get RGBD image of User. capture a color and depth image using an RGB+depth camera. background is replaced with a chroma-key.,VR,VR,Visual + Auditory,graphical avatar (photo-realistic representation of users),,voice,social VR experiences with photo-realistic representations of participants and people expressed discomfort with wearing the HMD for this duration (due to heat); lack of interacting with the environment (pointing) and better video quality. experienced naturalness of the feeling of presence and the interaction decision making,(n)→0,,IEEE VR,2019,
Social VR Platform: Building 360-degree Shared VR Spaces,360 Video,HMD, ,VR,VR,,,,,,,https://www.youtube.com/watch?v=yiTyQL7ECNw,TVX,2017,
A Social VR Clinic for Knee Arthritis Patients with Haptics,3D Scene,HMD,HTC Vive Pro Eye Head-Mouted Display; SenseGlove; knee and the prosthesis model implementations were adapted based on professionally 3D scanned medical models from Thingiverse,VR,VR,Visual + Haptic + Auditory,hand gestures; teleportation; pointer,Sense glove provides force feedback on fingers,voice,The goal was to support patients to travel fewer times to the hospital but still communicate well with doctors and nurses and receive sufficient healthcare. it offers a virtual injection tool to train patients to inject medicines with haptic feedback. investigate more haptic experiences such as feeling or perceiving the weight of virtual objects emotion,1→n,https://www.youtube.com/watch?v=c89E98SQRqk,IMX,2020,
VR Conferencing: communicating and collaborating in photo-realistic social immersive environments,360 Video,HMD,RGBD of user captured and displayed as point cloud or mesh,VR,VR,Visual + Auditory,hand gestures; graphical avatar (photorealistic representation of users),,voice,As part of the questionnaire people expressed a preference for the 3D experience; perception; usability,(2)→0,,VRIC,2019,
Watching videos together in social Virtual Reality: An experimental study on users QoE,360 Video,HMD,"FS system: users wear hand controllers that allow seeing their own virtual hands; the avatars appear as sitting on virtual chairs around a virtual table; the virtual screen appears at a fixed position on the other side of the table; the video playout is started by one user using a virtual touch player interface. 
VB system: users do not hold/wear any controller and do not see any part of their own body; the users representation appears as sitting on a coach; the virtual screen is covering the wall in front of the users; in the virtual user representation the HMD is visible and occluding a large part of the user’s face; wearing an Oculus Rift HMD and noise-cancelling headphones.
F2F system: users sit on two separate chairs in the same conference room with a screen in front of them. both users are recorded using a webcam.",VR,VR,Visual + Auditory,customized avatar,,voice,pairs of users watch a video trailer using two different sVR systems as well as sitting together in an actual room. FS(Facebook Spaces) VB(video-based sVR) F2F(Face-to-Face). quality of interaction; social connectedness and the sense of presence or immersion experienced by the users.,2→0,,IEEE VR,2019,
Social VR: A New Medium for Remote Communication and Collaboration,360 Video,HMD,,VR,VR,Visual + Auditory,hand gestures; graphical avatar (photorealistic representation of users),,voice,,(2)→0,,CHI,2020,
[DC] Multi-user (Social) Virtual Reality Communication,360 Video,HMD,,VR,VR,Visual + Auditory,hand gestures; graphical avatar (photorealistic representation of users),,voice,,(2)→0,,IEEE VR,2019,
Everyday Photo-Realistic Social VR: Communicate and Collaborate With An Enhanced Co-presence and Immersion,360 Video,HMD,,VR,VR,Visual + Auditory,hand gestures; graphical avatar (photorealistic representation of users),,voice,,n→0,,IBC,2019,
TogetherVR: A framework for photo-realistic shared media experiences in 360-degree VR,360 Video,HMD,,VR,VR,Visual + Auditory,hand gestures; graphical avatar (photorealistic representation of users),,voice,,n→0,,SMPTE,2018,
Experiencing Virtual Reality Together: Social VR Use Case Study,360 Video,HMD,,VR,VR,Visual + Auditory,hand gestures; graphical avatar (photorealistic representation of users),,voice,,n→0,,TVX,2018,
WebVR meets WebRTC: Towards 360-degree social VR experiences,360 Video,HMD,,VR,VR,Visual + Auditory,,,,,1⇄1,https://www.youtube.com/watch?v=2Ng67blnp9c,IEEE VR,2017,
Immediate Presence of Handwritten Annotation on Moving Picture in Real-Time Collaborative System,Video,HHD,,Mobile/Tablet,Mobile/Tablet,Visual,drawing; handwritten annotation,,,immediate presence of handwritten annotation on moving picture during collaboration. Comparison of processing time and transmission delay,1→1,,IEEE Access,2020,
Exploring interaction techniques for 360 panoramas inside a 3D reconstructed scene for mixed reality remote collaboration,360 Video,HMD,remote expert VR HMD to immerse in a 360 live video or a static 3D scene. local user wearing AR HMD.,AR,VR,Visual + Auditory,red rectangle frame to show FoV; arrow to indicate the location of the frame; pointer; ,,voice,,,,JMUI,2020,
3D Collaboration Method over HoloLens and Skype End,Video,HMD,HoloLens and Skype App,AR,Mobile/Tablet/PC,Visual + Auditory,spatial annotation / drawing,,voice,single user with a HMD (HoloLens) who drives the exploration of a space. Collaborators need an inexpensive device that runs the Skype client to participate in the space,,https://www.youtube.com/watch?v=S7QBrlHaQQM,ImmersiveMe,2015,
